Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
Fuel Filter,W014200511,Machines,29,52437.65,fuel filter
Fuel Filter,1R-0751,Machine/Power,23,89517.03,fuel filter
Fuel Filter,W010251001,Machines,63,192005.75,fuel filter
Fuel Filter,1R-0753,Power,6,19910.24,fuel filter
Fuel Filter,1R-0749,Logistics/Power/Remove,49,511113.05,fuel filter
Fuel Filter,4395038,Power,62,1109862,fuel filter
Fuel Filter,998-814,Power/Remove,10,31546.21,fuel filter
Fuel Filter,1000071712,Machine/Remove,53,124824.75,fuel filter
Fuel Filter,1000071711,Power,48,145455.57,fuel filter
Fuel Filter,360-8960,Machine/Remove,12,69745.35,fuel filter
Fuel Filter,067-6987,Machine/Remove,57,54919.57,fuel filter
Fuel Filter,10000-63247,Logistics/Power/Remove,43,57231.48,fuel filter
Fuel Filter,1R-0756,Logistics/Power/Remove,199,1406595.88,fuel filter
Fuel Filter,32A6201020C,Logistics/Machine/Remove,7,20211.69,fuel filter
Fuel Filter,10000-71713,Logistics/Power,15,14333.97,fuel filter
Fuel Filter,10000-48996,Machines,2,10335.36,fuel filter
Fuel Filter,91H20-02350,Logistics,2,2539.48,fuel filter
Fuel Filter,901-243,Power/Remove,1,1425.14,fuel filter
Fuel Filter,1R-1803,Logistics/Machine/Power,29,69175.37,fuel filter
Fuel Filter (901-214),20000-12699,Power,35,138941.95,fuel filter
Fuel Filter (998-814),10000-71716,Power,5,15746.13,fuel filter
Fuel Filter (Dumper),BY100442956,Machines,55,119503.64,fuel filter
Fuel Filter (Local),Millat-26561117,MHE,18,5654.43,fuel filter
Fuel Filter (Water) Dumper,BY612600081294A,Machines,16,72052,fuel filter
"Fuel Filter Pipe, Assembly Gasket.",17073353,Machines,2,1074.08,Gasket
Fuel Filter Prim,326-1644,Machines,24,195414.7,fuel filter
Fuel Guage,1000072789,Power,1,11011.97,Other
Fuel Guage,4643211,Power,2,18830.56,Other
Fuel Injector,0R-2921,Power/Remove,4,315079.58,injector
Fuel Injector,Fuel Injecto253-0618,,11,930662.67,injector
"Fuel Injector Delivery Pipe, Assy. O-Ring",17084644,Power,18,16846.2,injector
Fuel Injector Group,20R-1266,Power,2,489141.41,injector
Fuel Injector Line 05 D3412,4P9645,Power,1,39341.4,injector
Fuel Injector Nozzle Element Cooled 252260002,Fuel Injector Nozzle,Power,9,763203.42,injector
Fuel Level Guage,10000-61269,Machines,1,12893.43,Other
Fuel Lift Pump,913-022,Power,1,7887.42,pump
Fuel Lift Pump,10000-60118,Machine/Remove,1,9753.62,pump
Fuel Pressuer Guage,4W-0506,Power,6,78212.85,Other
Fuel Pressuer Guage,266-0889,Logistics/Power,8,127509.71,Other
Fuel Priming Pump,137-5541,Power/Remove,6,392144.76,pump
Fuel Priming Pump,162-3906,Logistics/Power/Remove,3,371490.84,pump
Fuel Seperator,996-595,Machines,25,8,Fuel Seperator
Fuel Seperator,10000-65563,Logistics/Power/Remove,1,2,Fuel Seperator
Fuel Seperator,00000-00038,Machine/Remove,1,7992.52,Fuel Seperator
Fuel Seperator,901-249,Machines,4,8696.68,Fuel Seperator
Fuel Transfer Pump,295-4070,Power,1,6462.31,pump
Fuel Transfer pumpC15,20R1525,Power,1,70417.2,Other
Fuel Water Separator,138-3100,Power/Remove,29,269491.7,water separator
Fuel Water Separator,W110000160,Machines,1,13628.12,water separator
Fuel Water Separator Assembly,138-3097,Power,3,127003.08,water separator
Fuel Water Seperator,1R-1804,Machine/Power,31,224567.8,Fuel Seperator
Fuel care filter,60286348,Machine/Remove,17,234405.72,fuel filter
Fuel filter,B229900002107,Machines,7,145345.9,fuel filter
Fuse,6V7802,power,2,6,Other
Fuse holder,1609602,Power,2,6,Other
"G.I Nut,Bolt 5/8"" X 21/2""","GINutBolt58""X212",Power,192,12672,bolt
G3512E-Turbo side expansion bellow,Turbobellow2323757,Power,2,58638.74,Other
G3516B-Main line Manifold expansion bellow,Manibellow1463046,Power,2,36649.22,Other
G3516C- Turbo side expansion bellow,Turbobellow1534045,Power,2,43979.06,Other
G3516C/G3512E- Manifold expansion bellow (Elbow side),Manibellow3013073,Power,2,59685.86,Other
G5516B-Turbo side expansion bellow,Turbobellow1651326,Power,2,47120.42,Other
GAS CONTROL VALVE,SN14750667H,Machines,2,8514,Valve
GAS KET,3S1889,Power,2,894.4,Gasket
GAS KIT,5I7735,Machines,1,2133.33,Other
GAS KIT,2941777,Power,1,376.47,Other
GAS KIT,5g1442,Machine/Remove,13,632.02,Other
GAS KIT SUMP 3516,7E2632,Power,1,8759.38,Other
GAS VALVE SPRING,W010250730,Machines,12,1464,Valve
GASKET,2F-7761,Power,1,759.36,Gasket
GASKET,1095381,Power,2,20391.68,Gasket
GASKET,5L1150,Machines,2,823.88,Gasket
GASKET,1058901,Power/Remove,6,6267.13,Gasket
GASKET,4N0641,Power,1,531.48,Gasket
GASKET,W010505051,Machines,6,501.96,Gasket
GASKET,9L-6924,Power,4,696.42,Gasket
GASKET,3753869,Power,2,1269.14,Gasket
GASKET,2N-0931,Power/Remove,1,221.45,Gasket
GASKET,6L6489,Power,2,1725.16,Gasket
GASKET,4H-9541,Power,1,210.04,Gasket
GASKET,4L3833,Power,1,406.21,Gasket
GASKET,107-8505,Power,4,2385.2,Gasket
GASKET,1W-7580,Power,2,3,Gasket
GASKET,5R-9779,Power,9,21196.38,Gasket
GASKET,4W-7992,,2,2147.04,Gasket
GASKET,7N-6957,Power,2,11309.04,Gasket
GASKET,7W-5648,Power,2,3,Gasket
GASKET,1299907,Power/Remove,6,183737.63,Gasket
GASKET,7C8878,Machines,2,16319.36,Gasket
GASKET,W010517698,Machines,6,1169.46,Gasket
GASKET,200-6418,Power/Remove,9,1621.49,Gasket
GASKET,3607989,Power,2,7014.98,Gasket
GASKET,1203-2892,Power,50,50,Gasket
GASKET,7L4302,Machines,1,328.41,Gasket
GASKET,135-8813,Remove,2,85336.08,Gasket
GASKET (3412),1W9638,Power,2,1678.54,Gasket
GASKET FOR TURBOCHARGER,W010504921,Machines,1,88,Gasket
GASKET KIT,2823657,Power,2,167080.8,Gasket
GASKET KIT,228-8902,Power,2,8165.3,Gasket
GASKET KIT (3412),2288899,Power,2,20861.6,Gasket
GASKET KT,6014618,Power,1,152523.84,Gasket
"GASKET, FUEL INLET",5522367,Machines,12,1422,Gasket
"GASKET, OIL OUTLET",5522370,Machines,12,1422,Gasket
GASKIT,179-2960,Power,149,39141.09,Gasket
GASKIT,1Y-7578,Power,1,1,Gasket
GASKIT,9Y-1979,Machines,1,1,Gasket
GASKIT,122-8857,Power,76,76,Gasket
GASKIT,198-6067,Power,330,330,Gasket
GASKIT,1W-5505,Power,2,2,Gasket
GASKIT,4339952,Power/Remove,5,75193.31,Gasket
GASKIT,9Y-6860,Machines,1,158.03,Gasket
GASKIT,1W-8545,Power,50,50,Gasket
GASKIT,116-7146,Power,25,25,Gasket
GASKIT,2W-752,Power,173,173,Gasket
GASKIT,MG19026084,Machines,6,104957.7,Gasket
GASKIT,1W-1253,Power,9,9,Gasket
GASKIT,MG19026011,Machines,46,9579.96,Gasket
GASKIT (355-0764),598-5871,Machines,12,1550298.71,Gasket
GASKIT (5303130),598-5856,Power,5,628753.6,Gasket
GASKIT EXHAUST,0114-4071,Machines,2,2,Gasket
GASKIT SET,3630373,Power,1,1,Gasket
GASKIT SET,3630110,Power,1,1,Gasket
GEAR PUMP,SN14571234C,Machines,1,42237,pump
GENERATOR,SNBY612600091116,Machines,1,19661,Other
GEP-135,Oil Cooler,Power,1,50000,Other
GOVERNOR,10000-01401,Power,1,457303.56,Other
GPE30N-35N PARTS MANUAL,98737-0D300,Machines,1,18159.56,Other
GREASE,BQ7272,Machines,1,39493.75,Other
GREASE NLGI3,GREASE NLGI3,Logistics/Machine,1137,690724.65,Other
GUIDE-VALVE,213-7536,Power/Remove,24,60980.96,Valve
Gaket,4P-7533,Power,3,1034.77,Gasket
Gas Cutter Nozzle Thin Hole LPG,GasCutterNozzleLP,Power,5,2480,Other
Gas Kit,423-6982,Power/Remove,12,3109.99,Other
Gas Kit,205-9127,Power,21,22093.68,Other
Gas Kit Harness,1190814,Power,1,235.21,Other
Gas Reservoir Water DR,W110000220,Machines,12,9403.48,Other
Gas kit A/C pump,8l4013,Machines,2,863.3,pump
Gasket,153-8455,,34,40553.76,Gasket
Gasket,197-8120,Power/Remove,6,29008.42,Gasket
Gasket,4M-6480,Power,1,133.29,Gasket
Gasket,17073804,Power,2,1074.28,Gasket
Gasket,200-6547,,2,6,Gasket
Gasket,7N-3368,Power/Remove,38,7569.68,Gasket
Gasket,6L-1694,Power/Remove,64,8048.96,Gasket
Gasket,2091823,power,2,6,Gasket
Gasket,1M9696,Power,2,6,Gasket
Gasket,1R6573,Power,18,2210.76,Gasket
Gasket,8N-9885,Power/Remove,5,819.38,Gasket
Gasket,17073725,Power,2,1074.08,Gasket
Gasket,5M-0330,Power,1,1448.67,Gasket
Gasket,4L-8149,Power,16,2483.44,Gasket
Gasket,4N-1320,Power/Remove,22,8677.07,Gasket
Gasket,4N-1418,Power/Remove,3,707.99,Gasket
Gasket,10000-05411,,1,2986.71,Gasket
Gasket,7C-9710,Power,8,13552.6,Gasket
Gasket,227-9010,Remove,4,6.75,Gasket
Gasket,105-8901,Power/Remove,11,2541.64,Gasket
Gasket,4N-1156,Power/Remove,15,3835.49,Gasket
Gasket,7N-4927,,1,1708.53,Gasket
Gasket,2P-6132,,1,3,Gasket
Gasket,4N-2564,Power/Remove,1,1770.24,Gasket
Gasket,1P-0436,Power,3,1666.47,Gasket
Gasket,4W-5369,Power/Remove,5,3086.5,Gasket
Gasket,7N-4945,Power/Remove,16,1830.29,Gasket
Gasket,7N-4320,,1,3,Gasket
Gasket,197-8419,Power,2,425.89,Gasket
Gasket,2N-7174,Power/Remove,7,2000.82,Gasket
Gasket,3S-5849,Power/Remove,12,1897.99,Gasket
Gasket,1S-4295,Power/Remove,4,5405.55,Gasket
Gasket,360-7990,Power,6,922.58,Gasket
Gasket,136-3246,Remove,2,6,Gasket
Gasket,5S-6735,Power,5,358.74,Gasket
Gasket,227-9012,Power/Remove,22,8454.67,Gasket
Gasket,4W-9027,Power,14,4451.37,Gasket
Gasket,146-7386,Remove,3,9,Gasket
Gasket,252-8374,Logistics/Power,26,8057.66,Gasket
Gasket,4P-9477,Power,5,479.13,Gasket
Gasket,9F-8127,Power,5,828.78,Gasket
Gasket,273-3967,Power/Remove,2,844.82,Gasket
Gasket,1P-1255,,1,3,Gasket
Gasket,1S-6595,Power/Remove,1,218.23,Gasket
Gasket,7E-6016,Power/Remove,9,1212.01,Gasket
Gasket,122-8856,Power,52,9501.89,Gasket
Gasket,5S-6371,Power/Remove,20,15476.07,Gasket
Gasket,7M-7273,Power/Remove,5,5476.13,Gasket
Gasket,7N-5089,Power,94,8023.61,Gasket
Gasket,7E-3772,Power,8,23909.24,Gasket
Gasket,129-9452,Power/Remove,18,44029.44,Gasket
Gasket,4J9225,power,1,3,Gasket
Gasket,2S-0795,Power,6,3321.48,Gasket
Gasket,243-2288,Power,79,15370.96,Gasket
Gasket,7N-5080,Power,10,6400.66,Gasket
Gasket,4N-1151,,3,14486.7,Gasket
Gasket,1W-1251,Power,1,1288.72,Gasket
Gasket,Z420200020,Machines,1,118.5,Gasket
Gasket,9Y-8389,Logistics/Power,4,7748.59,Gasket
Gasket,166-9146,,1,8729,Gasket
Gasket,166-9142,,1,3794.32,Gasket
Gasket,7C-0307,Power/Remove,9,2019.35,Gasket
Gasket,2W-0459,Power/Remove,2,1492.02,Gasket
Gasket,123-3292,Power,12,16453.44,Gasket
Gasket,7N-4932,Power,7,1781.67,Gasket
Gasket,8N-4524,Power,42,177.41,Gasket
Gasket,144-5692,,15,102381.75,Gasket
Gasket,226-4753,Power/Remove,1,1,Gasket
Gasket,4W-3100,Power/Remove,3,756,Gasket
Gasket - Timing Case Cover,915783,Machines,2,45363.36,Gasket
Gasket Acces,4973911,Power/Remove,5,6257.76,Gasket
Gasket After Cooler,100-6895,Power,1,11026.21,Gasket
Gasket Aux,143-3620,Power/Remove,2,40756.15,Gasket
Gasket Kit,226-9418,Power,3,437887.98,Gasket
Gasket Kit,135-8812,Power/Remove,6,842245.69,Gasket
Gasket Kit,107-8504,Power,15,30848.22,Gasket
Gasket Kit Upper,Gasket Kit Upper,Power,5,695260,Gasket
Gasket Plate,225-3101,,2,6,Gasket
Gasket Pump,4W-9725,Power,3,349.38,Gasket
Gasket-Exh,245-3512,Power,2,3,Gasket
Gaskit,7N-4903,Machines,24,24,Gasket
Gaskit,113-6200,Power,3,3,Gasket
Gaskit,144-0620,Power/Remove,1,7530.95,Gasket
Gaskit,2W-2073,Power,5,6323.45,Gasket
Gaskit,128-2922,Power/Remove,2,66071.83,Gasket
Gaskit,1W-5957,Power,14,14,Gasket
Gaskit,292-1245,Power/Remove,3,1534.96,Gasket
Gaskit,330-8557,Power/Remove,2,11609.3,Gasket
Gaskit,8N-3640,Machines,13,25529.92,Gasket
Gaskit,1W-6189,Power,2,412.96,Gasket
Gaskit,186-2558,Power/Remove,2,881.72,Gasket
Gaskit,384-4306,Power/Remove,7,5125.56,Gasket
Gaskit,193-9155,Power,1,3425.98,Gasket
Gaskit,121-5736,Power,4,7386.22,Gasket
Gaskit,247-3796,Power/Remove,5,2493.19,Gasket
Gaskit (W010250060),537-0146,MHE,12,2985.84,Gasket
Gaskit (W010250610),574-5654,MHE,12,9594.36,Gasket
Gaskit KT (355-0765),598-5822,Machines,20,910885.1,Gasket
Gaskit Kit Lower,3801007,Power,3,219663,Gasket
Gaskit Kit Lower,GaskitKit L-380-1717,Power,5,695260,Gasket
Gaskit Kit Upper,3803598,Power,3,214122,Gasket
Gear Idler,1W-4003,Machines,1,1,Other
Glass,3838541,Power,1,43835.17,Other
Governor 131-5454,Governor-131-5454,Power,2,1950179,Other
Grease(5 Kgs),1338807,Machine/Remove,1,26176.9,Other
Grommet,7C5708,power,4,12,Other
Guard As-Alt,388-3410,Machines,1,3935.13,Other
Guide Seal (W010250680),537-0128,MHE,12,5157.36,Other
Guide Valve,366-1338,Power/Remove,30,73013.41,Valve
Guide Valve,W010501401,,12,4092,Valve
Guide Valve,213-7537,Power/Remove,26,67795.83,Valve
Guide Valve,184-5494,Power/Remove,2,3383.01,Valve
Guide Valve,184-5495,Power,3,3401.3,Valve
Guide Valve,255-0897,Power/Remove,80,185783.76,Valve
Guide Valve,191-6766,Power/Remove,48,78000.88,Valve
Guide Valve (W010517650),523-1608,Machines,36,19800,Valve
Guide ring of crane,b230101001054,Machines,2,5802.9,Other
HARDENER,HARDENER,Power,2,6530,Other
HARNESS,2857191,Power,1,459878.13,Other
HARNESS,241-6867,,1,114582.96,Other
HARNESS,425-0289,Power,1,41390.08,Other
HEAD GP,4W-0095 GP,Power,2,0.67,Other
HEATER SPACE,1231389,Power,1,37389.79,Other
HEIGHT INDICATOR LAMP,SI504074031,Machines,2,1260,Other
HEIGHT INDICATOR LAMP,SI504074032,Machines,2,1260,Other
HFO TOOL SET,54616609,Machines,2,1,Other
HOLLOW RIVIT,SN81922010109,Machines,500,5500,Other
HORN SWITCH 3800-63875,SI5801309423,Machines,2,820,Other
HOSE,2941778,Machines,4,4518.3,pressure hose
HOSE AS,3031518,Power,1,21495.7,hose
HOSE ATT AW,9531506800,MHE,20,434408.4,hose
HOSE ATT AW RUBBER,9531507100,MHE,20,481927.8,hose
HOSE CLAMP,9816,Power,2,2,clamp
HOSE CLAMP,9820,Power,2,2,clamp
HOSE CLAMP,9814,Power,2,2,clamp
HOSE CLAMP,9818,Power,2,2,clamp
HOSE CLAMP,9806,Power,2,2,clamp
HOSE CLAMP,9810,Power,2,2,clamp
HOSE CLAMP,9808,Power,2,2,clamp
HOSE CLAMP,9812,Power,2,2,clamp
HOSE LIFT AW,9444802400,MHE,5,223133.25,hose
HOSE NYLON,0574825996,MHE,21,388310.58,hose
HOSE NYLON,0574839198,MHE,4,114036.12,hose
HOSE NYLON G3/8,0574825572,MHE,5,356891.4,hose
HOSE NYLON L 2865MM,0574825573,MHE,2,105891.18,hose
HOSE NYLON L = 2355,0574825471,MHE,2,84529.2,hose
HOSE NYLON L2940,0574825588,MHE,32,469577.28,hose
HOSE NYLON L525,0574839105,MHE,14,249921.42,hose
HOSE NYLON L535,0574839107,MHE,14,290359.02,hose
HOSE NYLON L=-1130,0574839226,MHE,24,1412657.28,hose
HOSE OUTLET,Z6B651001,Machines,1,4975.99,hose
HOSE PIPE,91A7131700,MHE,5,189555.6,hose
HOSE RETURN,91K7503400,MHE,4,95780.04,hose
HOSE RETURN,91A7221900,MHE,12,200970,hose
HOSE RUBBER,91K4609800,MHE,2,77555.28,hose
HOSE RUBBER,94A3935136,MHE,24,530853.12,hose
HOSE RUBBER,0574240061,MHE,11,283262.43,hose
HOSE RUBBER AW L665,94A3935133,MHE,24,524004.48,hose
HOSE RUBBER AW L810,94A3935162,MHE,7,83938.47,hose
HOSE SUCTION,91K7100300,MHE,2,38165.16,hose
HOSE SUCTION M2 S4 (91E7110600),9307506200,MHE,7,60205.74,hose
HOSE SUCTION M2 S4 (91E9120500),9307506400,MHE,6,86537.16,hose
HOSE WATER,9042503200,MHE,8,70623.12,hose
HOSE WATER,9042502040,MHE,7,23160.27,hose
HOSE pipe of WL,Z5D651006,Machines,2,5309.74,hose
HSD SG - Hascol - for Sindh,HSD SG - Hascol - fo,Logistics,37,2923.97,Other
HSD SG - T.Parco for Sindh,HSD SG-T.Parco Sindh,Logistics,2000,554200,Other
HYDRAULIC LIFT VALVE,SN14767463LC,Machines,2,45238,Valve
HYDROLIC FILTER,1R0777,Machines,4,38757.33,filter
Harness,270-1732,Remove,1,120907.4,Other
Harness,166-8366,Power,1,93214.41,Other
Harness,305-0581,Power/Remove,2,114186.92,Other
Harness,2423100,Power,1,2,Other
Harness,176-5869,Power,1,159082.56,Other
Harness,3391559,Power,1,680687.28,Other
Harness,305-0580,Remove,1,28543.61,Other
Harness ( ing ) g3512,4P9322,Power,1,135333.04,Other
Harness As-Power (Valve),3654507,Power,2,12993.45,Valve
Harness Hs,126-2264,Power,1,447245.64,Other
Harness MG,5529777,Machines,1,7051.35,Other
Harness MG,5529781,Machines,1,8037.06,Other
Harness MG,5529779,Machines,1,14309.76,Other
Harness MG,5189653,Machines,1,2543.88,Other
Harness MG,5529782,Machines,1,9979.77,Other
Harness MG,5529783,Machines,1,16598.73,Other
Harness MG,5529784,Machines,1,6061.29,Other
Hazard lamp Switch,W46000309,Machines,1,939.6,Other
Head Assmb Set,12216752,Power,2,264742.74,Other
"Head D3516(ZAR,YAT,1HZ)",20R3545,Power,5,851077.5,Other
Head GP CYL (C15ffh ),20R2647,Power,1,965408.48,Other
Head Gas Kit 3516 25Z,5973817,Power,4,499107.84,Other
Head Gasket,110-6991,Power,10,129326.46,Gasket
Head Gasket Kit,355-0764,Power/Remove,5,301538.09,Gasket
Head Gaskit,5997282,Power,3,237940.5,Gasket
Head Gaskit Insta (C15),4674081,Power/Remove,1,200031.65,Gasket
Head gas kit D3512,4583417,Power,2,91483.98,Other
Heat Sink,298-3648,Power/Remove,4,556184.16,Other
Heat Sink,290-5564,Power,4,273091.17,Other
Heater Space D3512729,4549498,Power,4,437538.5,Other
High Gear-8JS11TC-B,HighGear,Machines,1,18000,Other
High Pressure Hose Ass,5572540,Machines,1,7414.14,pressure hose
Hoper O ring,A820606020001,Machines,1,4193.68,o-ring
Horizontal Tank / Bladder pressure vessel 100 L,ExpansionTank100L,Power,2,152900,Other
Horizontal Tank / Bladder pressure vessel 24 L,Expansion Tank 24 L,Power,2,33900,Other
Horizontal Tank / Bladder pressure vessel 60 L,Expansion Tank 60 L,Power,2,116900,Other
Horn Switch Forklift,24300-38240,Machines,1,4740.69,Other
Hose,264-7112,Machine/Remove,5,7860.21,pressure hose
Hose,162-2177,Machines,1,12874.68,pressure hose
Hose,8N-5254,Machines,2,60432.96,pressure hose
Hose,264-7111,Machine/Remove,5,9643.62,pressure hose
Hose As,217-6692,Remove,3,41243.06,hose
Hose As,3418890,Machines,1,6439.15,hose
Hose Band AIR G3516B,8N5991,Power,2,85766.08,hose
Hose Pipe,7N-5339,Machines,3,4657.98,hose
Hose Pipe,4W-3637,,2,82123.12,hose
Hose Pipe,HOSE PIPE,,1,75000,hose
Hose-Hump,209-4451,Machines,1,4327.18,hose
Hours Meter,620-277,Power/Remove,1,13454.28,Other
Housing,1052898,Power,1,205840.14,housing
Housing D3516B 1HZ,1068934,Power,3,1060463.88,housing
Hub Plg,134-0040,Machines,1,358842.42,Other
Hyd Filter HEX 320GC,2166676,Machines,4,50000,filter
Hyd oil level sensor,A240600000139,Machines,1,4514,sensor
Hydo Oil Filter,9187505900,Machines,7,48038.93,Oil Filter
Hydo Oil Filter,W110005650,Machines,12,189566.9,Oil Filter
Hydo Sae 30,309-6938,Logistics/Machine,1978,1938057.64,Other
Hydraulic Filter,1G-8878,Machines,13,212093.59,filter
Hydraulic Filter (Equipmax),67501 (Local),MHE,42,123141.34,filter
Hydraulic Filter (I),STL-HF-3800,Machines,7,16953.12,filter
Hydraulic Filter (Local),91375-03800 (Local),Machines,39,114136.81,filter
Hydraulic Filter ELEMENT,ELEMENT 179-9806,Machine,32,836827.29,filter
Hydraulic Return Filter 320GC,590-9787,Machines,8,388930.24,filter
Hydraulic Tank Filter,W380000000A,Machines,30,260038.98,filter
Hydraulic filter,60283939,Machines,3,123706.44,filter
Hydraulic oil 30 Grade,3195923,Machines,939,1163818.99,Oil
Hydraulic pipe of WL,Z5224500200,Machines,2,5452.14,Other
Hydraulic pump Oring Kit,3694712,Machines,1,51134.95,pump
Hydro Oil Filter,9137503800,Logistics/Machine/Remove,41,190302.52,Oil Filter
Hydrolic Filter,2254118,Machines,6,122579.24,filter
Hydrolic Filter,1R-0722,Machines,21,81032,filter
Hydrolic Jack Seal,238-4462,Machines,6,41210.94,Other
Hydrolic Oil Cooler,2174112,Machines,1,236541.53,Oil Cooler
Hydrolic Oil Filter,144-6691,Machines,25,260317.08,Oil Filter
I.S.M Harness,339-1558,Power,1,177246.72,Other
IGNITION SWITCH,SNSZ946000700,Machines,2,4408,Other
IMPELLER,227-9846,Machines,2,9387.72,Other
IMPELLER (W022200007),548-3882,Machines,1,81986.19,Other
IN. FRICTIONAL DISC,W43001105,Machines,20,11380,Other
INJ GP FUEL,10R-0959,,1,163429.24,Other
INJECTION PUMP,INJECTION PUMP,Power,9,6954579,pump
INJECTOR,SNBY61560080276,Machines,12,60632.4,injector
INJECTOR LOCK,1N-4910,Power,1,1,injector
INLET OIL COVER,Z6205905900,Machines,1,1045.75,Oil
INSERT-V SEA,214-3286,Power/Remove,24,65829.44,Other
INSIDE DIAMETER FAN SPIDER (9-BLADE),354-6444 (Local),Power,1,63492,fan
INSTALLATION KET,4337633,Power,1,6553.07,Other
INSTRUMENT CLUSTER,SI5801694637,Machines,1,14392,Other
INSTRUMENT CLUSTER (ADD F,SI5801884767,Machines,1,14392,Other
INTERCOOLER AIR OUTPUT PIPE,SNDZ96259535020,Machines,2,6954,Other
Ignation Transformer Connector,155-2270,Power,102,26100.1,Other
Ignition Switch,9G-7641,Machines,1,9162.4,Other
Ignition Switch of dozer,4678535,Machines,1,17951.3,Other
Ignition Transformer,437-4124,,5,1247572.2,Other
Ignition Transformer,356-3701,Power/Remove,2,51020.95,Other
Ignition Transformer(356-3701).,6023325,Power,3,203670.36,Other
Ignition Transformer-437-4106,Transformer-437-4106,Power/Remove,8,660126.32,Other
Impeller,172-5189,Machines,1,1,Other
Impeller,137-1970,Machines,3,114762.66,Other
Impeller Water,235-4591,Power,1,49268.19,Other
Impler,246-3129,Machine/Remove,4,155136.87,Other
In fuel line of MG,W47008200,Machines,9,44431.47,Other
Indicator,6I-2933,,4,10,Other
Injector,0R-8338,Power/Remove,2,99412.11,injector
Injector,2610048,Power,6,180216,injector
Injector Nozzle,130-5187,Power,6,260000.04,injector
Injector Seal,245-4908,Power,32,172032,injector
Injector Seal,245-4907,,39,139767.4,injector
Injector Seal O Ring,194-9584,Power,37,46012.66,injector
Injector Tip,111-8343,Power,14,73887.8,injector
Insert,212-0936,Power/Remove,25,120759.4,Other
Insert,130-2608,Power/Remove,10,45429.88,Other
Insert,130-2607,Power/Remove,7,17418.74,Other
Insert,266-8718,Power,34,243275.75,Other
Insert,308-7100,Power/Remove,84,861213.59,Other
Insert Valve,191-6760,Power/Remove,26,283535.14,Valve
Insert Valve,266-8721,Power/Remove,36,232068.09,Valve
Insert Valve Seal,206-1548,Power,29,30.03,Valve
Insert Valve Seat (W010252230),537-0382,MHE,6,6196.14,Valve
Installation Kit,196-0237,Power,3,37186.03,Other
Insulator,8T-9884,Power,15,4836.71,Other
Intake Seat (W010517655),5231613IntakeSeat,Machines,24,22032,Other
Intake Seat (W010517655),5231613,Machines,6,4972.8,Other
Intake Valve (W010517672),523-1625,Machines,36,110304,Valve
Intale Valve,w010513520,,12,28380,Valve
Integrated Seal,234-8937,Power,2,2,Other
Isolator,1533865,Power,2,6,Other
J/W HaterThermostat 3412,1714527,Power,2,134408.4,Other
J/W TEMP SENSOR,141-8536,Power,1,15908.75,sensor
J/W Temp Sensor,436-2005,Power,4,101883.3,sensor
J/W Temp Sensor,265-7430,Remove,4,46944.1,sensor
J/W Temp Sensor,10000-45277,Power,3,16068.03,sensor
JACK TOPCRANK,330010,Machines,4,39421.38,Other
JET GAS,7E1582,Power,1,17273.1,Other
JINT,998697,Machines,1,2500.01,Other
JOINT BEARING,B120525035,Machine/Remove,8,13549.36,bearing
JOINT BEARING GE45ES,B120524532,Machines,7,12383,bearing
JOINT RING,9840,Power,3,3,Other
JOINT RING,7010,Power,45,45,Other
JWACPump,JWACPump,Power,2,200000,Other
JX1011B,JX1011B,Power,2,5600,Other
Jack Seal,376-9017,Power,3,150218.4,Other
Jacket Water Level Sensor,165-6634,Power,1,1,sensor
Jacket Water Pump Seal,131-3815,Power/Remove,6,4.5,pump
Jacket Water Pump Sensor,264-4297,Power,3,30402.61,sensor
Jacket Water Pump Shaft,2W-9723,Power,1,1,pump
Jacket Water Sensor,108-3190,Power,1,1,sensor
Jacket Water Sensor,4369832,Power,1,4484.76,sensor
Jacket Water Sensor,102-2240,Remove,6,127822.29,sensor
Jacket Water Sensor,256-6453,,3,37731.6,sensor
Joint As,9X-7527,Power,24,22087.46,Other
Joint Bearing,5604731,Machines,3,40630.72,bearing
Joint bearing,W44011002,Machines,2,27398.61,bearing
Junction Block,180-5561,Power,3,6,Other
KEY,1B8714,Machines,8,2786.4,Other
KEY,1B-8702,Power,2,105.02,Other
KEY SWITCH,10000-45281,Power,1,2274.98,Other
KINGPIN SEAL,SI5801605320,Machines,4,1212,Other
KIT,901190499,Machines,3,3,Other
KIT Carburetor GP3412,7C4998,Machines,1,5355.13,Other
KIT GASKET,463-9257,Power,3,97111.11,Gasket
KIT GASKET,5078851,,1,404421.36,Gasket
KIT GASKET,2915417,Power,1,27601.57,Gasket
KIT GASKET,492-4488,Power,4,216249.36,Gasket
KIT GASKET,464-0896,Power/Remove,3,30385.41,Gasket
KIT GASKET,445-6120,Power,5,147100.76,Gasket
KIT GASKIT,464-0861,Power,1,153309.62,Gasket
KIT GASKIT,459-9424,Power,2,184150.69,Gasket
KIT SEAL (W054300010B),537-0292,Machines,1,6201.36,Other
KIT SERVICE,3664622,Power,3,40276.06,Other
KIT WET,217034,Power,1,1,Other
"KP-P100P,KP-P150P Fan Belt",2614B653,Power,112,1225641,belt
KP-P135P Fan Belt,2614B654,Power,16,180295,belt
KP-P135P Fuel Filter,26560143,Power,16,118384,fuel filter
KP-P135P Pre-Fuel Filter,26560145,Power,15,97290,fuel filter
